run,n,correct,accuracy,median_latency_s,p95_latency_s,mean_generated_tokens,max_tokens,truncated
warmup-direct,100,72,0.72,0.11190497904317454,0.14689582685241476,2.9,16,0
warmup-cot,100,99,0.99,0.7605457084719092,0.9779537100985181,22.07,96,0
latent-direct,100,77,0.77,0.1141784994979389,0.149221043655416,2.82,16,0
latent-cot,100,99,0.99,0.7172549585229717,0.9505822972743772,22.07,96,0
latent-k4,100,80,0.8,0.24427447898779064,0.29330949791474265,2.83,16,0
latent-zero,100,81,0.81,0.13260754145449027,0.18715585418394767,2.83,16,0
latent-shuffle,100,78,0.78,0.24030291649978608,0.2851657502760645,2.83,16,0
latent-repeat,100,80,0.8,0.18370610399870202,0.23065789135289377,2.83,16,0
pretrained-direct,100,22,0.22,0.597559604444541,0.7075050483283121,12.09,16,69
pretrained-cot,100,14,0.14,2.110173063003458,3.6972619482083244,92.54,96,83
